price,brand,mile,old,engine,gear,seat,province,colour,fuel,post
768000.0,"Mitsubishi,Pajero",72500.0,4,2442,A,7,กรุงเทพและปริมณฑล,น้ำตาล,Diesel,0
399000.0,"Mazda,2",86168.0,2,1299,A,5,กรุงเทพและปริมณฑล,ดำ,Petrol,0
499000.0,"Toyota,Camry",107500.0,6,1998,A,5,กรุงเทพและปริมณฑล,เทา,Petrol,0
829000.0,"Nissan,Serena",122500.0,7,1998,A,7,กรุงเทพและปริมณฑล,ขาว,Petrol,0
938000.0,"Mitsubishi,Pajero",72500.0,4,2442,A,7,กรุงเทพและปริมณฑล,ขาว,Diesel,0
169000.0,"Honda,Civic",147500.0,15,1668,A,5,กรุงเทพและปริมณฑล,น้ำตาล,Petrol,0
1098000.0,"Mitsubishi,Pajero",62500.0,2,2442,A,7,กรุงเทพและปริมณฑล,ขาว,Diesel,0
799000.0,"Mercedes-Benz,E200",107500.0,9,1796,A,5,กรุงเทพและปริมณฑล,ดำ,Petrol,0
269000.0,"Honda,City",102500.0,9,1497,A,5,กรุงเทพและปริมณฑล,เทา,Petrol,0
199000.0,"Toyota,Hilux",137500.0,8,2694,M,2,กรุงเทพและปริมณฑล,เทา,Petrol,0
239000.0,"Suzuki,Swift",112500.0,5,1242,M,5,กรุงเทพและปริมณฑล,ขาว,Petrol,0
399000.0,"Mazda,2",16993.0,2,1299,A,5,กรุงเทพและปริมณฑล,แดง,Petrol,0
249000.0,"Toyota,Hilux",137500.0,14,2494,M,2,กรุงเทพและปริมณฑล,เทา,Diesel,0
239000.0,"Toyota,Corolla",97500.0,8,1598,A,5,กรุงเทพและปริมณฑล,เทา,Petrol,0
229000.0,"Toyota,Corolla",112500.0,10,1598,A,5,กรุงเทพและปริมณฑล,เทา,Petrol,0
449000.0,"Toyota,Hilux",97500.0,5,2393,A,2,กรุงเทพและปริมณฑล,เทา,Diesel,0
389000.0,"Honda,City",82958.0,6,1497,A,5,กรุงเทพและปริมณฑล,ขาว,Petrol,0
369000.0,"Toyota,Hilux",97500.0,6,2494,M,5,กรุงเทพและปริมณฑล,เทา,Diesel,0
349000.0,"Toyota,Corolla",102500.0,6,1598,A,5,กรุงเทพและปริมณฑล,เทา,Petrol,0
509000.0,"Isuzu,D-Max",2500.0,5,2499,A,2,กรุงเทพและปริมณฑล,ดำ,Diesel,0
269000.0,"Toyota,Hilux",142500.0,12,2494,M,2,กรุงเทพและปริมณฑล,เทา,Diesel,0
549500.0,"Mercedes-Benz,E200",100.0,12,1796,A,5,กรุงเทพและปริมณฑล,ดำ,Petrol,0
449000.0,"Isuzu,D-Max",2500.0,6,2499,M,2,กรุงเทพและปริมณฑล,เงิน,Diesel,0
449000.0,"Toyota,Corolla",102500.0,6,1798,A,5,กรุงเทพและปริมณฑล,ขาว,Petrol,0
1430000.0,"Toyota,Camry",20050.0,1,2487,A,5,กรุงเทพและปริมณฑล,ขาว,Petrol,0
469000.0,"Honda,Civic",84485.0,4,1798,A,5,กรุงเทพและปริมณฑล,เทา,Petrol,0
299000.0,"Suzuki,Swift",102500.0,6,1242,A,5,กรุงเทพและปริมณฑล,เทา,Petrol,0
249000.0,"Toyota,Camry",182500.0,13,1998,A,5,กรุงเทพและปริมณฑล,เงิน,Petrol,0
599000.0,"Honda,Civic",2500.0,3,1799,A,5,กรุงเทพและปริมณฑล,ดำ,Petrol,0
199000.0,"Toyota,Camry",187500.0,15,1999,A,5,กรุงเทพและปริมณฑล,เทา,Petrol,0
439000.0,"Honda,Accord",292500.0,9,1997,A,5,กรุงเทพและปริมณฑล,ขาว,Petrol,0
545000.0,"Toyota,Camry",137500.0,8,1998,A,5,กรุงเทพและปริมณฑล,เงิน,Petrol,0
469000.0,"Honda,Civic",92788.0,4,1798,A,5,กรุงเทพและปริมณฑล,เงิน,Petrol,0
559000.0,"Honda,Accord",147500.0,7,1997,A,5,กรุงเทพและปริมณฑล,ขาว,Petrol,0
